"","orig.ident","nCount_RNA","nFeature_RNA","uniqueID","embryo","pos","z","x_global","y_global","x_global_affine","y_global_affine","embryo_pos","embryo_pos_z","Area","UMAP1","UMAP2","celltype_mapped_refined"
"embryo1_Pos7_cell309_z2","embryo1",480,173,"embryo1_Pos7_cell309_z2","embryo1","Pos7",2,1667.00734938521,1404.38118913348,2.31502347818721,-1.06933205000007,"embryo1_Pos7","embryo1_Pos7_2",15056,-0.110221028244744,4.00855282100818,"Presomitic mesoderm"
"embryo1_Pos7_cell31_z2","embryo1",302,144,"embryo1_Pos7_cell31_z2","embryo1","Pos7",2,1647.08108390514,1406.63130259175,1.67224072076556,-0.996747744894641,"embryo1_Pos7","embryo1_Pos7_2",7888,4.16693347730485,0.499791719491724,"Gut tube"
"embryo1_Pos7_cell310_z2","embryo1",379,149,"embryo1_Pos7_cell310_z2","embryo1","Pos7",2,1666.8013764425,1402.84299842984,2.30837918971276,-1.11895110495634,"embryo1_Pos7","embryo1_Pos7_2",9792,-0.275253563900663,3.91713985086433,"Presomitic mesoderm"
"embryo1_Pos7_cell311_z2","embryo1",384,164,"embryo1_Pos7_cell311_z2","embryo1","Pos7",2,1666.98679462845,1406.05488808502,2.3143604215174,-1.01534176124085,"embryo1_Pos7","embryo1_Pos7_2",10224,-0.07085855327335,3.98718897323068,"Presomitic mesoderm"
"embryo1_Pos7_cell312_z2","embryo1",239,127,"embryo1_Pos7_cell312_z2","embryo1","Pos7",2,1666.55599892762,1420.07291241927,2.3004637860067,-0.563147427878121,"embryo1_Pos7","embryo1_Pos7_2",7664,0.243412067466859,2.3259578829813,"Presomitic mesoderm"
"embryo1_Pos7_cell313_z2","embryo1",280,146,"embryo1_Pos7_cell313_z2","embryo1","Pos7",2,1666.771431621,1391.70639288565,2.30741322772862,-1.47819644509146,"embryo1_Pos7","embryo1_Pos7_2",9552,-0.12803235973894,4.00103183798153,"Presomitic mesoderm"
"embryo1_Pos7_cell314_z2","embryo1",219,112,"embryo1_Pos7_cell314_z2","embryo1","Pos7",2,1666.89855293873,1413.22151021363,2.31151391539735,-0.784160402253598,"embryo1_Pos7","embryo1_Pos7_2",7952,0.227440259369088,3.56457221683975,"Presomitic mesoderm"
"embryo1_Pos7_cell315_z2","embryo1",368,161,"embryo1_Pos7_cell315_z2","embryo1","Pos7",2,1666.83737146593,1396.95714117504,2.30954031950071,-1.30881746801452,"embryo1_Pos7","embryo1_Pos7_2",9488,-0.194155851337989,4.0069701845442,"Presomitic mesoderm"
"embryo1_Pos7_cell316_z2","embryo1",185,101,"embryo1_Pos7_cell316_z2","embryo1","Pos7",2,1666.83256465677,1410.93868136293,2.30938526114064,-0.85780004259864,"embryo1_Pos7","embryo1_Pos7_2",6752,0.0321327215277811,2.53495587556795,"Presomitic mesoderm"
"embryo1_Pos7_cell317_z2","embryo1",494,187,"embryo1_Pos7_cell317_z2","embryo1","Pos7",2,1667.05881666101,1399.91190769361,2.31668371289022,-1.21350241902817,"embryo1_Pos7","embryo1_Pos7_2",11408,0.350559002605453,2.98854886782095,"Presomitic mesoderm"
"embryo1_Pos7_cell318_z2","embryo1",262,129,"embryo1_Pos7_cell318_z2","embryo1","Pos7",2,1666.7102593316,1407.53585611979,2.30543992807061,-0.96756859882889,"embryo1_Pos7","embryo1_Pos7_2",5760,0.496673405700099,3.88777565018157,"Presomitic mesoderm"
"embryo1_Pos7_cell319_z2","embryo1",274,131,"embryo1_Pos7_cell319_z2","embryo1","Pos7",2,1667.29487304687,1408.74021305568,2.32429843501505,-0.928718375090618,"embryo1_Pos7","embryo1_Pos7_2",11360,-0.0495372988278524,2.75554901410476,"Presomitic mesoderm"
