"","orig.ident","nCount_RNA","nFeature_RNA","uniqueID","embryo","pos","z","x_global","y_global","x_global_affine","y_global_affine","embryo_pos","embryo_pos_z","Area","UMAP1","UMAP2","celltype_mapped_refined"
"embryo1_Pos0_cell100_z2","embryo1",107,80,"embryo1_Pos0_cell100_z2","embryo1","Pos0",2,1625.05512829614,1346.2680074096,0.961726023700962,-2.94395081528682,"embryo1_Pos0","embryo1_Pos0_2",8144,-6.46233695226248,-1.03425809468501,"Erythroid"
"embryo1_Pos0_cell101_z2","embryo1",106,70,"embryo1_Pos0_cell101_z2","embryo1","Pos0",2,1624.99788852585,1344.50841714734,0.959879579498015,-3.00071179148854,"embryo1_Pos0","embryo1_Pos0_2",8560,-6.81090681123107,-0.845417267115455,"Erythroid"
"embryo1_Pos0_cell102_z2","embryo1",886,210,"embryo1_Pos0_cell102_z2","embryo1","Pos0",2,1625.71628800358,1335.71495846668,0.983053756198984,-3.28437174892929,"embryo1_Pos0","embryo1_Pos0_2",15936,4.06760389960925,0.122409865548543,"Gut tube"
"embryo1_Pos0_cell105_z2","embryo1",99,68,"embryo1_Pos0_cell105_z2","embryo1","Pos0",2,1625.28252264794,1349.82345516124,0.969061325371946,-2.82925895233065,"embryo1_Pos0","embryo1_Pos0_2",6768,-6.67061271044251,-0.926943311454416,"Erythroid"
"embryo1_Pos0_cell106_z2","embryo1",267,147,"embryo1_Pos0_cell106_z2","embryo1","Pos0",2,1625.24231710552,1352.7175252781,0.967764372390597,-2.73590185178671,"embryo1_Pos0","embryo1_Pos0_2",7776,-3.56923281203749,-3.79883841787565,"Haematoendothelial progenitors"
"embryo1_Pos0_cell107_z2","embryo1",138,89,"embryo1_Pos0_cell107_z2","embryo1","Pos0",2,1625.65673332767,1350.86700846354,0.981132637621407,-2.79559594257888,"embryo1_Pos0","embryo1_Pos0_2",11040,-6.73688438804183,-0.894907990760216,"Erythroid"
"embryo1_Pos0_cell108_z2","embryo1",309,133,"embryo1_Pos0_cell108_z2","embryo1","Pos0",2,1625.29862554023,1354.74675344914,0.969580773510245,-2.67044287852747,"embryo1_Pos0","embryo1_Pos0_2",6016,2.5301504734191,-4.25535152822264,"Allantois"
"embryo1_Pos0_cell109_z2","embryo1",366,154,"embryo1_Pos0_cell109_z2","embryo1","Pos0",2,1625.60086555431,1358.30821673495,0.979330451383774,-2.55555696608175,"embryo1_Pos0","embryo1_Pos0_2",12112,1.15137212647323,-4.7698806948139,"Lateral plate mesoderm"
"embryo1_Pos0_cell11_z2","embryo1",140,81,"embryo1_Pos0_cell11_z2","embryo1","Pos0",2,1617.26016235352,1351.46667480469,0.710275509422814,-2.77625186705806,"embryo1_Pos0","embryo1_Pos0_2",4096,1.27111417383677,-4.43706565678271,"Lateral plate mesoderm"
"embryo1_Pos0_cell110_z2","embryo1",225,110,"embryo1_Pos0_cell110_z2","embryo1","Pos0",2,1625.60013052133,1339.00493445763,0.97930674064277,-3.17824349115661,"embryo1_Pos0","embryo1_Pos0_2",6656,3.99858028989927,0.201868402697238,"Gut tube"
"embryo1_Pos0_cell111_z2","embryo1",327,138,"embryo1_Pos0_cell111_z2","embryo1","Pos0",2,1625.80468818772,1359.66193950814,0.985905375042314,-2.51188848952724,"embryo1_Pos0","embryo1_Pos0_2",5680,1.15608849436752,-4.65400550109016,"Lateral plate mesoderm"
"embryo1_Pos0_cell112_z2","embryo1",453,169,"embryo1_Pos0_cell112_z2","embryo1","Pos0",2,1626.16057122181,1337.48546522577,0.997385472916051,-3.22725862766842,"embryo1_Pos0","embryo1_Pos0_2",11616,4.04359891269974,0.105106145688989,"Gut tube"
"embryo1_Pos0_cell113_z2","embryo1",129,86,"embryo1_Pos0_cell113_z2","embryo1","Pos0",2,1626.16570873337,1345.42865897182,0.997551199095568,-2.97102657134395,"embryo1_Pos0","embryo1_Pos0_2",7968,-6.72075574360542,-1.22218769771248,"Erythroid"
"embryo1_Pos0_cell114_z2","embryo1",142,90,"embryo1_Pos0_cell114_z2","embryo1","Pos0",2,1626.12802834024,1347.08525888871,0.996335702543028,-2.9175878643476,"embryo1_Pos0","embryo1_Pos0_2",7840,-6.66130051312737,-0.983709355609299,"Erythroid"
"embryo1_Pos0_cell115_z2","embryo1",146,100,"embryo1_Pos0_cell115_z2","embryo1","Pos0",2,1625.96607006555,1357.14922230454,0.991111242069181,-2.59294388319192,"embryo1_Pos0","embryo1_Pos0_2",4176,2.18952674210386,-4.01254593707163,"Allantois"
"embryo1_Pos0_cell116_z2","embryo1",200,110,"embryo1_Pos0_cell116_z2","embryo1","Pos0",2,1626.54872139015,1339.31879244857,1.00990644608856,-3.16811903983601,"embryo1_Pos0","embryo1_Pos0_2",6368,3.6476414852915,-0.0678481373214183,"Gut tube"
"embryo1_Pos0_cell117_z2","embryo1",363,153,"embryo1_Pos0_cell117_z2","embryo1","Pos0",2,1626.49170983356,1340.22650942595,1.00806736361778,-3.13883784701729,"embryo1_Pos0","embryo1_Pos0_2",7360,3.96453323767219,0.170248894625607,"Gut tube"
"embryo1_Pos0_cell118_z2","embryo1",425,174,"embryo1_Pos0_cell118_z2","embryo1","Pos0",2,1626.47799352823,1354.06434424646,1.00762490215553,-2.69245607861389,"embryo1_Pos0","embryo1_Pos0_2",10512,-3.42284151432751,-3.69966441237695,"Haematoendothelial progenitors"
"embryo1_Pos0_cell119_z2","embryo1",349,128,"embryo1_Pos0_cell119_z2","embryo1","Pos0",2,1626.40933195891,1352.02484411169,1.00541001282269,-2.75824640554185,"embryo1_Pos0","embryo1_Pos0_2",10800,-6.8752969104423,-1.50163351442834,"Erythroid"
"embryo1_Pos0_cell12_z2","embryo1",120,75,"embryo1_Pos0_cell12_z2","embryo1","Pos0",2,1617.20908810857,1353.45460346533,0.708627953134254,-2.71212513606959,"embryo1_Pos0","embryo1_Pos0_2",3728,1.07177087481134,-4.50755143776859,"Lateral plate mesoderm"
"embryo1_Pos0_cell120_z2","embryo1",328,133,"embryo1_Pos0_cell120_z2","embryo1","Pos0",2,1626.23917429071,1355.47173108553,0.999921055783837,-2.64705650316003,"embryo1_Pos0","embryo1_Pos0_2",4864,2.28387587497386,-4.04699146717534,"Allantois"
"embryo1_Pos0_cell121_z2","embryo1",103,69,"embryo1_Pos0_cell121_z2","embryo1","Pos0",2,1626.45197379009,1349.03849283854,1.00678555576381,-2.85458031757889,"embryo1_Pos0","embryo1_Pos0_2",8544,-7.32406476530929,-0.792622306677175,"Erythroid"
"embryo1_Pos0_cell122_z2","embryo1",533,194,"embryo1_Pos0_cell122_z2","embryo1","Pos0",2,1626.94069142972,1356.92117321794,1.02255064091324,-2.60030030534035,"embryo1_Pos0","embryo1_Pos0_2",11984,2.58808864978412,-4.04540053891599,"Allantois"
"embryo1_Pos0_cell123_z2","embryo1",260,133,"embryo1_Pos0_cell123_z2","embryo1","Pos0",2,1626.71292682251,1336.43812151888,1.01520339551928,-3.26104390853578,"embryo1_Pos0","embryo1_Pos0_2",5072,3.87841818196479,0.259102879864385,"Gut tube"
"embryo1_Pos0_cell124_z2","embryo1",260,125,"embryo1_Pos0_cell124_z2","embryo1","Pos0",2,1626.87059810488,1358.81510397785,1.02028956591843,-2.53920576469799,"embryo1_Pos0","embryo1_Pos0_2",6896,1.97028322399021,-4.30689364016899,"Lateral plate mesoderm"
"embryo1_Pos0_cell125_z2","embryo1",123,82,"embryo1_Pos0_cell125_z2","embryo1","Pos0",2,1626.84300836527,1341.04478214672,1.01939957431816,-3.11244195279901,"embryo1_Pos0","embryo1_Pos0_2",2544,3.88367390471563,0.221805289018413,"Gut tube"
"embryo1_Pos0_cell126_z2","embryo1",213,103,"embryo1_Pos0_cell126_z2","embryo1","Pos0",2,1627.0003431627,1353.07177563647,1.02447489036414,-2.72447442087143,"embryo1_Pos0","embryo1_Pos0_2",4576,-5.60913443551952,-5.08574668256773,"Endothelium"
"embryo1_Pos0_cell127_z2","embryo1",173,101,"embryo1_Pos0_cell127_z2","embryo1","Pos0",2,1627.02807617188,1338.31232561384,1.02536950356344,-3.20058571192413,"embryo1_Pos0","embryo1_Pos0_2",4032,3.65052834186401,0.0494127887137134,"Gut tube"
"embryo1_Pos0_cell128_z2","embryo1",251,116,"embryo1_Pos0_cell128_z2","embryo1","Pos0",2,1627.16449824466,1341.8766916782,1.02977021558875,-3.08560616146074,"embryo1_Pos0","embryo1_Pos0_2",6320,-5.08642086790509,-4.76333823140476,"Endothelium"
"embryo1_Pos0_cell129_z2","embryo1",78,54,"embryo1_Pos0_cell129_z2","embryo1","Pos0",2,1627.09429222993,1347.98447832543,1.0275055054361,-2.88858078574368,"embryo1_Pos0","embryo1_Pos0_2",4272,-6.85790974204081,-0.950010591418143,"Erythroid"
"embryo1_Pos0_cell13_z2","embryo1",330,152,"embryo1_Pos0_cell13_z2","embryo1","Pos0",2,1617.44458126616,1355.51745041153,0.716224506604796,-2.64558168619202,"embryo1_Pos0","embryo1_Pos0_2",6576,-3.88519668653485,-4.3587195742135,"Haematoendothelial progenitors"
"embryo1_Pos0_cell130_z2","embryo1",207,91,"embryo1_Pos0_cell130_z2","embryo1","Pos0",2,1627.25509535246,1346.7435682452,1.03269270293713,-2.9286101431704,"embryo1_Pos0","embryo1_Pos0_2",7664,-7.48072008961192,-0.866403616272074,"Erythroid"
"embryo1_Pos0_cell131_z2","embryo1",98,64,"embryo1_Pos0_cell131_z2","embryo1","Pos0",2,1627.37615282546,1349.80189028342,1.03659778271142,-2.82995459355048,"embryo1_Pos0","embryo1_Pos0_2",7136,-7.49356606984779,-0.766936635875251,"Erythroid"
"embryo1_Pos0_cell132_z2","embryo1",1062,252,"embryo1_Pos0_cell132_z2","embryo1","Pos0",2,1628.28372585142,1355.68209210873,1.06587433193577,-2.64027066370186,"embryo1_Pos0","embryo1_Pos0_2",23248,-3.94106721725119,-4.37550625363396,"Haematoendothelial progenitors"
"embryo1_Pos0_cell133_z2","embryo1",158,96,"embryo1_Pos0_cell133_z2","embryo1","Pos0",2,1627.69515402275,1351.11641909951,1.04688814391432,-2.78755043819292,"embryo1_Pos0","embryo1_Pos0_2",9120,-7.41471105379205,-0.886064030995973,"Erythroid"
"embryo1_Pos0_cell135_z2","embryo1",277,132,"embryo1_Pos0_cell135_z2","embryo1","Pos0",2,1627.59399784909,1336.13700121143,1.04362504153812,-3.27075746684049,"embryo1_Pos0","embryo1_Pos0_2",6320,4.02470138850487,0.101447137149501,"Gut tube"
"embryo1_Pos0_cell136_z2","embryo1",193,114,"embryo1_Pos0_cell136_z2","embryo1","Pos0",2,1628.24496548847,1359.37101790049,1.06462399764717,-2.52127305751618,"embryo1_Pos0","embryo1_Pos0_2",13184,2.26379273617805,-4.0842518625879,"Allantois"
"embryo1_Pos0_cell137_z2","embryo1",591,197,"embryo1_Pos0_cell137_z2","embryo1","Pos0",2,1628.02113807091,1334.91601186899,1.05740375837112,-3.31014421982248,"embryo1_Pos0","embryo1_Pos0_2",10400,4.05301479825086,0.104842726546877,"Gut tube"
"embryo1_Pos0_cell139_z2","embryo1",225,117,"embryo1_Pos0_cell139_z2","embryo1","Pos0",2,1628.06871895865,1352.4532588284,1.05893862571755,-2.74442657597059,"embryo1_Pos0","embryo1_Pos0_2",9136,-7.09010653501094,-0.975058846810697,"Erythroid"
"embryo1_Pos0_cell14_z2","embryo1",276,142,"embryo1_Pos0_cell14_z2","embryo1","Pos0",2,1617.37801453808,1357.70659346265,0.714077192795848,-2.574964168414,"embryo1_Pos0","embryo1_Pos0_2",7504,-3.59455338385926,-4.25464681916951,"Haematoendothelial progenitors"
"embryo1_Pos0_cell140_z2","embryo1",60,44,"embryo1_Pos0_cell140_z2","embryo1","Pos0",2,1627.91907472037,1348.61946214353,1.05411139222464,-2.86809743677288,"embryo1_Pos0","embryo1_Pos0_2",5856,-7.14950162590126,-0.778146236454744,"Erythroid"
"embryo1_Pos0_cell141_z2","embryo1",438,169,"embryo1_Pos0_cell141_z2","embryo1","Pos0",2,1627.90790876116,1340.5573172433,1.05375119999201,-3.1281666271027,"embryo1_Pos0","embryo1_Pos0_2",8400,3.98160014355188,0.227179514046039,"Gut tube"
"embryo1_Pos0_cell142_z2","embryo1",97,65,"embryo1_Pos0_cell142_z2","embryo1","Pos0",2,1627.76357181737,1339.20673908171,1.04909516954704,-3.17173366457342,"embryo1_Pos0","embryo1_Pos0_2",3904,3.64783200774416,0.417155672979937,"Gut tube"
"embryo1_Pos0_cell143_z2","embryo1",200,113,"embryo1_Pos0_cell143_z2","embryo1","Pos0",2,1628.33279304218,1353.941272248,1.06745714454088,-2.69642614308014,"embryo1_Pos0","embryo1_Pos0_2",8512,-5.39161076035961,-4.65238525801808,"Endothelium"
"embryo1_Pos0_cell144_z2","embryo1",215,103,"embryo1_Pos0_cell144_z2","embryo1","Pos0",2,1627.86720081676,1357.78659889915,1.05243804049525,-2.57238334788192,"embryo1_Pos0","embryo1_Pos0_2",3520,2.6687260552867,-4.10015500139627,"Mixed mesenchymal mesoderm"
"embryo1_Pos0_cell145_z2","embryo1",216,116,"embryo1_Pos0_cell145_z2","embryo1","Pos0",2,1628.34469260068,1336.97583904917,1.06784100126684,-3.24369818175212,"embryo1_Pos0","embryo1_Pos0_2",6096,4.04166270184718,0.171355165465963,"Gut tube"
"embryo1_Pos0_cell146_z2","embryo1",178,88,"embryo1_Pos0_cell146_z2","embryo1","Pos0",2,1628.00953020368,1342.3362601144,1.05702931104111,-3.07078137319645,"embryo1_Pos0","embryo1_Pos0_2",3584,-5.23099497032874,-5.20792824025064,"Endothelium"
"embryo1_Pos0_cell148_z2","embryo1",123,77,"embryo1_Pos0_cell148_z2","embryo1","Pos0",2,1628.16562352036,1338.25171321192,1.06206457932101,-3.20254095069577,"embryo1_Pos0","embryo1_Pos0_2",3696,3.78820711414936,0.508986377290491,"Gut tube"
"embryo1_Pos0_cell149_z2","embryo1",70,41,"embryo1_Pos0_cell149_z2","embryo1","Pos0",2,1628.16766289353,1347.45669635078,1.06213036555229,-2.90560601073254,"embryo1_Pos0","embryo1_Pos0_2",4304,-7.34046226464628,-0.694611869654258,"Erythroid"
"embryo1_Pos0_cell15_z2","embryo1",165,97,"embryo1_Pos0_cell15_z2","embryo1","Pos0",2,1617.51981096078,1359.50053840284,0.718651270947539,-2.51709497679523,"embryo1_Pos0","embryo1_Pos0_2",4832,1.06791703803653,-4.05097866236094,"Intermediate mesoderm"
"embryo1_Pos0_cell150_z2","embryo1",171,101,"embryo1_Pos0_cell150_z2","embryo1","Pos0",2,1628.33504589486,1344.53163186098,1.06752981720813,-2.99996292975838,"embryo1_Pos0","embryo1_Pos0_2",4368,3.82972935514638,0.220168917897256,"Gut tube"
"embryo1_Pos0_cell151_z2","embryo1",113,68,"embryo1_Pos0_cell151_z2","embryo1","Pos0",2,1628.66875201244,1350.16252828006,1.07829453067841,-2.81832110978785,"embryo1_Pos0","embryo1_Pos0_2",7376,-7.4345385127445,-0.901062838690849,"Erythroid"
"embryo1_Pos0_cell152_z2","embryo1",268,129,"embryo1_Pos0_cell152_z2","embryo1","Pos0",2,1628.94843338197,1357.11098397496,1.08731651034054,-2.59417737769434,"embryo1_Pos0","embryo1_Pos0_2",5312,2.18853697553836,-4.28743966609339,"Allantois"
"embryo1_Pos0_cell153_z2","embryo1",497,180,"embryo1_Pos0_cell153_z2","embryo1","Pos0",2,1629.04050069713,1341.58149327641,1.09028642373305,-3.09512869055087,"embryo1_Pos0","embryo1_Pos0_2",10848,3.98468432186426,0.150311307174586,"Gut tube"
"embryo1_Pos0_cell154_z2","embryo1",517,184,"embryo1_Pos0_cell154_z2","embryo1","Pos0",2,1629.07951871617,1334.13796252153,1.09154506950832,-3.33524258586957,"embryo1_Pos0","embryo1_Pos0_2",8128,4.25222056928806,0.44951132138284,"Gut tube"
"embryo1_Pos0_cell155_z2","embryo1",194,96,"embryo1_Pos0_cell155_z2","embryo1","Pos0",2,1628.83766846488,1339.50427442348,1.08374344849913,-3.16213575032273,"embryo1_Pos0","embryo1_Pos0_2",4976,3.97510987698542,0.182679296619826,"Gut tube"
"embryo1_Pos0_cell156_z2","embryo1",294,118,"embryo1_Pos0_cell156_z2","embryo1","Pos0",2,1628.99257089773,1358.12187200333,1.08874030117174,-2.56156808645675,"embryo1_Pos0","embryo1_Pos0_2",8864,2.762553992427,-4.12298061184208,"Allantois"
"embryo1_Pos0_cell157_z2","embryo1",106,66,"embryo1_Pos0_cell157_z2","embryo1","Pos0",2,1628.71746100579,1338.77742057747,1.07986578852847,-3.18558264858122,"embryo1_Pos0","embryo1_Pos0_2",2288,3.48124091167415,0.193843388841005,"Gut tube"
"embryo1_Pos0_cell159_z2","embryo1",275,131,"embryo1_Pos0_cell159_z2","embryo1","Pos0",2,1628.99937350157,1335.88620592551,1.08895974000524,-3.27884763735402,"embryo1_Pos0","embryo1_Pos0_2",6048,4.44726126629681,0.59787782576693,"Gut tube"
"embryo1_Pos0_cell16_z2","embryo1",521,170,"embryo1_Pos0_cell16_z2","embryo1","Pos0",2,1617.97484269699,1353.89801304872,0.733329714050882,-2.69782160112148,"embryo1_Pos0","embryo1_Pos0_2",10832,1.19434178205046,-4.74466629167254,"Lateral plate mesoderm"
"embryo1_Pos0_cell160_z2","embryo1",82,58,"embryo1_Pos0_cell160_z2","embryo1","Pos0",2,1628.93266260901,1348.98011673328,1.08680777572913,-2.85646341774846,"embryo1_Pos0","embryo1_Pos0_2",5504,-6.97988970990612,-0.892713519863078,"Erythroid"
"embryo1_Pos0_cell161_z2","embryo1",272,129,"embryo1_Pos0_cell161_z2","embryo1","Pos0",2,1629.31398625959,1337.67775103177,1.09910853865115,-3.22105585973289,"embryo1_Pos0","embryo1_Pos0_2",8208,3.95707857738007,0.127371379854296,"Gut tube"
"embryo1_Pos0_cell162_z2","embryo1",234,122,"embryo1_Pos0_cell162_z2","embryo1","Pos0",2,1629.41270513507,1344.66423119192,1.10229301850513,-2.99568553198608,"embryo1_Pos0","embryo1_Pos0_2",5488,3.57888822547681,-0.264636010399316,"Gut tube"
"embryo1_Pos0_cell163_z2","embryo1",55,44,"embryo1_Pos0_cell163_z2","embryo1","Pos0",2,1629.36025806184,1347.87822577294,1.10060117743312,-2.89200828743704,"embryo1_Pos0","embryo1_Pos0_2",6016,-6.47058189179711,-0.8796236062889,"Erythroid"
"embryo1_Pos0_cell164_z2","embryo1",239,124,"embryo1_Pos0_cell164_z2","embryo1","Pos0",2,1629.5359049819,1340.13473147589,1.1062672071125,-3.14179842605139,"embryo1_Pos0","embryo1_Pos0_2",7664,3.98942692378016,0.13991218868307,"Gut tube"
"embryo1_Pos0_cell166_z2","embryo1",216,99,"embryo1_Pos0_cell166_z2","embryo1","Pos0",2,1629.39537518247,1352.77693065393,1.10173398777624,-2.73398554934072,"embryo1_Pos0","embryo1_Pos0_2",9248,-7.44504794728717,-0.827604886561581,"Erythroid"
"embryo1_Pos0_cell167_z2","embryo1",329,102,"embryo1_Pos0_cell167_z2","embryo1","Pos0",2,1629.74853850064,1351.16682608269,1.1131263528785,-2.78592440647729,"embryo1_Pos0","embryo1_Pos0_2",14016,-7.50476222660462,-0.803519533712143,"Erythroid"
"embryo1_Pos0_cell168_z2","embryo1",427,165,"embryo1_Pos0_cell168_z2","embryo1","Pos0",2,1629.85948805251,1345.15356533291,1.11670537068056,-2.97990055969601,"embryo1_Pos0","embryo1_Pos0_2",8880,-5.08451235488356,-4.85186248799722,"Endothelium"
"embryo1_Pos0_cell17_z2","embryo1",151,93,"embryo1_Pos0_cell17_z2","embryo1","Pos0",2,1618.25320125966,1335.25659545441,0.742309022524111,-3.2991576525508,"embryo1_Pos0","embryo1_Pos0_2",8544,-7.02490288526073,-0.876981346428095,"Erythroid"
"embryo1_Pos0_cell170_z2","embryo1",425,173,"embryo1_Pos0_cell170_z2","embryo1","Pos0",2,1630.19774590935,1335.68924849846,1.12761691444976,-3.28520110274266,"embryo1_Pos0","embryo1_Pos0_2",8304,3.98385710254319,0.102622354137238,"Gut tube"
"embryo1_Pos0_cell171_z2","embryo1",206,96,"embryo1_Pos0_cell171_z2","embryo1","Pos0",2,1629.94409742548,1338.90628447519,1.11943470529255,-3.18142574865477,"embryo1_Pos0","embryo1_Pos0_2",5552,4.07143163093705,0.20967626431541,"Gut tube"
"embryo1_Pos0_cell172_z2","embryo1",189,92,"embryo1_Pos0_cell172_z2","embryo1","Pos0",2,1629.84650818376,1336.55316010783,1.11628666523698,-3.25733298631167,"embryo1_Pos0","embryo1_Pos0_2",3872,3.81364335772296,0.144139394367509,"Gut tube"
"embryo1_Pos0_cell174_z2","embryo1",169,84,"embryo1_Pos0_cell174_z2","embryo1","Pos0",2,1629.87754209702,1359.09697072519,1.11728775921316,-2.5301132889772,"embryo1_Pos0","embryo1_Pos0_2",5664,2.74183270677936,-4.07102648065196,"Mixed mesenchymal mesoderm"
"embryo1_Pos0_cell175_z2","embryo1",143,76,"embryo1_Pos0_cell175_z2","embryo1","Pos0",2,1630.14018554688,1348.75295728601,1.12576012856344,-2.86379114185426,"embryo1_Pos0","embryo1_Pos0_2",7360,-7.46542831739261,-0.86706140972326,"Erythroid"
"embryo1_Pos0_cell176_z2","embryo1",111,64,"embryo1_Pos0_cell176_z2","embryo1","Pos0",2,1630.45440023843,1349.66136553876,1.13589608635564,-2.83448764982997,"embryo1_Pos0","embryo1_Pos0_2",6160,-7.31553848614853,-0.84614064452226,"Erythroid"
"embryo1_Pos0_cell177_z2","embryo1",116,69,"embryo1_Pos0_cell177_z2","embryo1","Pos0",2,1630.20259540264,1341.79623272236,1.12777334971728,-3.0882016116494,"embryo1_Pos0","embryo1_Pos0_2",4160,3.62818148418271,0.449546079665487,"Gut tube"
"embryo1_Pos0_cell178_z2","embryo1",121,92,"embryo1_Pos0_cell178_z2","embryo1","Pos0",2,1630.28827311198,1346.69696858724,1.13053714679261,-2.93011335794347,"embryo1_Pos0","embryo1_Pos0_2",7680,-6.73895267094321,-1.32846218366055,"Erythroid"
"embryo1_Pos0_cell179_z2","embryo1",403,167,"embryo1_Pos0_cell179_z2","embryo1","Pos0",2,1630.37157871712,1356.70187336503,1.13322442437791,-2.60737449414374,"embryo1_Pos0","embryo1_Pos0_2",7072,2.64914551090862,-4.05587007047335,"Allantois"
"embryo1_Pos0_cell18_z2","embryo1",202,131,"embryo1_Pos0_cell18_z2","embryo1","Pos0",2,1618.38935656266,1344.43006589311,0.746701129072598,-3.00323925130258,"embryo1_Pos0","embryo1_Pos0_2",7856,-4.3933229615635,-3.5675995415838,"Haematoendothelial progenitors"
"embryo1_Pos0_cell180_z2","embryo1",82,54,"embryo1_Pos0_cell180_z2","embryo1","Pos0",2,1630.37608629818,1333.72125860872,1.13336983021849,-3.34868464757308,"embryo1_Pos0","embryo1_Pos0_2",4592,4.00069745776086,0.372733729749005,"Gut tube"
"embryo1_Pos0_cell181_z2","embryo1",315,123,"embryo1_Pos0_cell181_z2","embryo1","Pos0",2,1630.85774526546,1340.91675827266,1.14890721625977,-3.11657175518796,"embryo1_Pos0","embryo1_Pos0_2",9168,4.00867728912971,0.104558127120429,"Gut tube"
"embryo1_Pos0_cell182_z2","embryo1",234,98,"embryo1_Pos0_cell182_z2","embryo1","Pos0",2,1630.62837947153,1355.19723395007,1.1415083196812,-2.65591124946511,"embryo1_Pos0","embryo1_Pos0_2",8016,-7.25502747065392,-1.04803938276717,"Erythroid"
"embryo1_Pos0_cell183_z2","embryo1",198,105,"embryo1_Pos0_cell183_z2","embryo1","Pos0",2,1631.02310234473,1359.65137887181,1.15424131559114,-2.51222915521533,"embryo1_Pos0","embryo1_Pos0_2",6352,1.9602565130434,-3.87586736269427,"Mixed mesenchymal mesoderm"
"embryo1_Pos0_cell184_z2","embryo1",165,96,"embryo1_Pos0_cell184_z2","embryo1","Pos0",2,1630.9174299569,1357.32575936153,1.15083252888671,-2.58724913941797,"embryo1_Pos0","embryo1_Pos0_2",3712,2.46302094316476,-4.2581604821335,"Allantois"
"embryo1_Pos0_cell185_z2","embryo1",269,129,"embryo1_Pos0_cell185_z2","embryo1","Pos0",2,1630.79032443576,1358.04087131076,1.14673235078566,-2.56418101202333,"embryo1_Pos0","embryo1_Pos0_2",7200,2.54849390428021,-4.11962067568429,"Allantois"
"embryo1_Pos0_cell186_z2","embryo1",447,162,"embryo1_Pos0_cell186_z2","embryo1","Pos0",2,1630.90010517462,1338.3916680712,1.15027366494245,-3.19802627781577,"embryo1_Pos0","embryo1_Pos0_2",9456,3.98496384240601,0.110945540550797,"Gut tube"
"embryo1_Pos0_cell187_z2","embryo1",284,136,"embryo1_Pos0_cell187_z2","embryo1","Pos0",2,1630.87961425781,1334.23609375,1.14961266762594,-3.33207706237055,"embryo1_Pos0","embryo1_Pos0_2",6400,3.82200495821724,0.207301727525723,"Gut tube"
"embryo1_Pos0_cell188_z2","embryo1",172,84,"embryo1_Pos0_cell188_z2","embryo1","Pos0",2,1630.983096231,1337.40967456715,1.15295079579317,-3.22970348762394,"embryo1_Pos0","embryo1_Pos0_2",5920,3.92367255121598,0.192894864059216,"Gut tube"
"embryo1_Pos0_cell189_z2","embryo1",88,68,"embryo1_Pos0_cell189_z2","embryo1","Pos0",2,1631.82518991911,1353.66963027257,1.18011510831307,-2.7051887874488,"embryo1_Pos0","embryo1_Pos0_2",21728,-6.60178475701482,-1.04446169302954,"Erythroid"
"embryo1_Pos0_cell19_z2","embryo1",435,149,"embryo1_Pos0_cell19_z2","embryo1","Pos0",2,1618.08912295387,1351.65666465154,0.737016173950344,-2.77012316232095,"embryo1_Pos0","embryo1_Pos0_2",8064,1.1081237823819,-4.76596442139061,"Lateral plate mesoderm"
"embryo1_Pos0_cell190_z2","embryo1",171,109,"embryo1_Pos0_cell190_z2","embryo1","Pos0",2,1631.06970274197,1352.3668373145,1.15574455421173,-2.7472143667415,"embryo1_Pos0","embryo1_Pos0_2",9872,-6.58741009171102,-1.06137560059571,"Erythroid"
"embryo1_Pos0_cell191_z2","embryo1",114,76,"embryo1_Pos0_cell191_z2","embryo1","Pos0",2,1631.18753004808,1347.8239070012,1.15954543505382,-2.89376050588017,"embryo1_Pos0","embryo1_Pos0_2",8320,-6.93215069830508,-0.831807856131103,"Erythroid"
"embryo1_Pos0_cell193_z2","embryo1",109,72,"embryo1_Pos0_cell193_z2","embryo1","Pos0",2,1630.88956124442,1339.91627720424,1.14993353816165,-3.1488453380402,"embryo1_Pos0","embryo1_Pos0_2",3584,3.66920566905454,0.0652714775498629,"Gut tube"
"embryo1_Pos0_cell195_z2","embryo1",106,71,"embryo1_Pos0_cell195_z2","embryo1","Pos0",2,1631.16458213005,1350.75013964464,1.15880517963348,-2.79936590447901,"embryo1_Pos0","embryo1_Pos0_2",8224,-7.01528754968066,-0.955297868638227,"Erythroid"
"embryo1_Pos0_cell196_z2","embryo1",143,97,"embryo1_Pos0_cell196_z2","embryo1","Pos0",2,1631.04615799753,1335.12120939556,1.15498504632659,-3.30352494477187,"embryo1_Pos0","embryo1_Pos0_2",3040,3.46470391803074,0.489725127030167,"Gut tube"
"embryo1_Pos0_cell197_z2","embryo1",305,137,"embryo1_Pos0_cell197_z2","embryo1","Pos0",2,1631.4300451944,1344.11108019925,1.16736850429018,-3.01352911239478,"embryo1_Pos0","embryo1_Pos0_2",8256,-4.96576670821884,-4.87624680691201,"Endothelium"
"embryo1_Pos0_cell198_z2","embryo1",104,68,"embryo1_Pos0_cell198_z2","embryo1","Pos0",2,1631.090092454,1358.85972409828,1.15640228685783,-2.53776640597452,"embryo1_Pos0","embryo1_Pos0_2",3424,3.28305899146317,-4.53776357796855,"Lateral plate mesoderm"
